number,style,runs,font,bold,text
1,Normal,1,Arial,True,UWF Leisure Learning
2,Normal,7,Arial,None,Summer 2020 Online Classes
2,Normal,7,Arial,None,Summer 2020 Online Classes
2,Normal,7,Arial,None,Summer 2020 Online Classes
2,Normal,7,Arial,None,Summer 2020 Online Classes
2,Normal,7,Arial,None,Summer 2020 Online Classes
2,Normal,7,Arial,None,Summer 2020 Online Classes
2,Normal,7,Arial,None,Summer 2020 Online Classes
3,Normal,1,Calibri,True,Zoom Introductory Sessions
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
4,Body Text,45,,None,"Leisure Learning is working hard to help our members fight feelings of isolation and the negative effects that accompany it during these unprecedented times of COVID-19 social distancing. This summer, we will be offering classes online through Zoom. During the week of June 1 to June 4, we will host free live Zoom sessions to help you feel comfortable using the platform before classes begin. Each class will have its own unique registration ID and will be emailed to participants prior to the start of the class. This session is provided free"
