number,style,text
1,Normal,New! Calvert’s in the Heights
2,Body Text,"Scott Calvert, owner of Calvert’s and native of Pensacola, will talk with us about his career in the food industry and the history of his new restaurant. We will gather"
3,Body Text,in a private room and during the (Dutch-treat) lunch will have plenty of time to chat and enjoy one another. Consult the menu online and look at the British offerings as well as other choices. Coffee and tea will be provided by Calvert’s. There is plenty of parking in the restaurant lot and tons of space inside so let’s get together for this fall restaurant class and support a new Pensacola business.
4,Normal,— 13 Sessions
5,Body Text,"This multi-week course is designed for those that have already taken the Beginner Recorder series. There is a second volume to the textbook used in the beginner course ($7.95) and additional supplemental literature from the Renaissance period. Please contact the primary instructor, Charles Tucker, with questions at 850-525-8256. Students who took the beginning classes should also contact the primary instructor prior to registering. No class on 9/2, 11/11 or 11/25."
6,Normal,— 13 Sessions
7,Body Text,"The recorder is a pleasant-sounding Renaissance flute. This multi-week course is designed for anyone (with or without previous experience in music) interested in learning how to play the recorder. By the end of the course, students will be playing simple music in four parts. Members of"
8,Body Text,"the St. Paul Consort will team-teach the class, building on the basics of learning one note at a time and how to count rhythms. Soprano, alto, tenor and bass recorders will be used. Students need to purchase a method book and a recorder. Students decide which size instrument they wish to play during the first class meeting. Playing music in a group is an extremely rewarding experience. Commitment to regular attendance and out-of-class practice are necessary to make the most of this course for the group as well as for the individual. Please contact the primary instructor, Charles Tucker, with questions at 850-525-8256. No class on 9/2, 11/11 or 11/25."
9,Normal,Tick Tock Turn Back the Clock
10,Body Text,"Dr. Bonnie McLean will share her knowledge about one of her favorite topics, Aging Gracefully. As a health practitioner and a 73-year-old working woman, she"
11,Body Text,"has researched this subject for more than 15  years. She is excited to share the latest information on the aging process, including brain physiology, telomeres and how lifestyle influences our aging process. Joining her will be Chef Celestina Brunetti RDN, LD who will share her"
12,Body Text,expertise in her nutritional approach to staying youthful at any age.
13,Normal,Chaos and Cartooning with Andy Marlette
14,Body Text,"Andy Marlette, cartoonist and columnist with the Pensacola News Journal will be back to educate and entertain Leisure Learners. A session with Andy is always lively and full of surprises. His creativity is overflowing and his wit and wisdom are astounding. Even if you have attended his previous sessions, join us again to hear Andy in this all new presentation."
15,Normal,Conversation with Bret Barrow: Trombones and the Pensacola Symphony Orchestra
16,Body Text,"Bret Barrow, Executive Director and trombone player of the Pensacola Symphony Orchestra, will talk with us"
17,Body Text,about the PSO season and community activities. Bret
18,Body Text,will give us a demonstration on the trombone and help us understand the difference between practicing and rehearsing. Gain insight regarding performance anxiety and exhilaration and the preparation of symphonic pieces. Bret will be happy to answer questions about the PSO and about being a professional musician. He may even give us some hints about the next season of
19,Body Text,"our wonderful, local Orchestra. A crowd favorite—learn more about the local arts scene by joining this class!"
20,Normal,New! Ye Olde Brothers Brewery
21,Body Text,"Ye Olde Brothers Brewery combines southern hospitality and small town charm. Proprietors, Jerry Rolison and Larry Rolison have created a place to celebrate life around the table, enjoy dinner with family and friends and opportunities to rock away the hours on the front porch"
22,Normal,*Not available on the all-inclusive Unlimited Classes option.
23,Body Text,"with one of their locally brewed, hand-crafted beers. Join us for a tour of the brewery and a crash course on beer brewing. Please plan to stay for (Dutch-treat) lunch after the tour."
24,Normal,What To Do When The Aging Process Knocks On The Door
25,Body Text,"What is your plan for aging? As you get older, you are faced with financial, legal, residential options and healthcare choices. What are the costs of an assisted living or nursing home? Is there subsidized housing"
26,Body Text,for seniors? What are the available resources in our community to help with costs for seniors? What is memory care and how is that different from assisted living and nursing home care. How does hospice fit into the needs of seniors? This presentation offers insight into issues seniors and their adult children must know!
27,Normal,Downtown Pensacola Parking Workshop Pre-registration required
28,Body Text,"Learn how to park, pay and play in Downtown Pensacola. The Downtown Improvement Board (DIB) is teaming up with UWF Leisure Learning to present a public workshop for people who want to learn more about parking in"
29,Body Text,"DIB-managed spaces. Workshop guests will learn how to identify DIB parking from privately-managed parking, where to find free parking, how to load and use the new Passport Parking app, use a pay machine and navigate the DIB parking website to locate zones, handicapped parking and pricing. Attendees also have the opportunity to learn how DIB parking dollars are invested back into"
30,Normal,New! Florida Shorts: Short Fiction from Three of Florida’s Best Known Authors — 2 Sessions
31,Body Text,"Join us for a literary romp through our amazing, wonderous, very particular State of Florida. We  will read pieces from beloved story tellers Marjorie Kinnan Rawlings, Zora Neale Hurston and John D. McDonald. In addition, a selection from Lauren Groff’s bestselling new collection titled simply “Florida” will be provided at the first session."
32,Normal,New! Make a Difference: Volunteer
33,Body Text,Retirement is great! But what happens when you wake up to a blank calendar every morning? You can stay on the
34,Body Text,"couch or watch television, but it’s important for seniors to stay active and engaged with others to avoid boredom and social isolation. With volunteering, not only do you give back to the community, but an added bonus is it improves mental health, physical health and an enhanced sense of purpose. Come learn how to pick the right volunteer job for you and where to find positions. You"
35,Body Text,will leave the session with a “get started volunteering kit” making it easy to immediately “get involved.”
36,Normal,WEAR TV 3 Tour
37,Body Text,"This tour of Channel 3 WEAR-TV includes a visit to the Control Room and the Production Room. We will be in attendance while the 11:00 news, “Dayside with Sue Straughn,” is broadcast live. Walking and standing is"
38,Normal,Calling All Bookies
39,Body Text,"Set in the south, “Where the Crawdads Sing” by Delia Owens will have you hooked from the start. The main character survives alone in the marsh and eventually becomes a murder suspect. Find out why this book is at the top of so many bestseller lists and is already in production stages to be a movie. Please read the book in preparation for the class. Open to past participants and newcomers alike who love to participate in book"
40,Body Text,discussions. Our group grows each semester but everyone gets a chance to talk and the discussion is always exciting!
41,Normal,New! The Hangar American Grill
