number,style,runs,font,bold,text
1,Normal,2,,None,","
1,Normal,2,Arial,None,","
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Times New Roman,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Times New Roman,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
2,Normal,12,Arial,None,UNIVERSITY of WEST FLORIDA	Volume XXIII I Fall 
3,Normal,2,Arial,True,Leisure Learning
3,Normal,2,Arial,True,Leisure Learning
4,Normal,2,Arial,True,Fall 2019 Course Guide
4,Normal,2,Arial,None,Fall 2019 Course Guide
5,Normal,3,Times New Roman,True,Tour Through Pensacola History
5,Normal,3,Times New Roman,True,Tour Through Pensacola History
5,Normal,3,Times New Roman,True,Tour Through Pensacola History
6,Normal,7,Arial,None,Old Sacred Heart Hospital Quina House Museum
6,Normal,7,Arial,None,Old Sacred Heart Hospital Quina House Museum
6,Normal,7,Arial,None,Old Sacred Heart Hospital Quina House Museum
6,Normal,7,Arial,None,Old Sacred Heart Hospital Quina House Museum
6,Normal,7,Arial,None,Old Sacred Heart Hospital Quina House Museum
6,Normal,7,Arial,None,Old Sacred Heart Hospital Quina House Museum
6,Normal,7,Arial,None,Old Sacred Heart Hospital Quina House Museum
7,List Paragraph,3,Arial,None,Scenic Highway by Trolly
7,List Paragraph,3,Arial,None,Scenic Highway by Trolly
7,List Paragraph,3,Arial,None,Scenic Highway by Trolly
8,List Paragraph,6,Arial,None,UWF Archives & West Florida Center John C. Pace Library
8,List Paragraph,6,Arial,None,UWF Archives & West Florida Center John C. Pace Library
8,List Paragraph,6,Arial,None,UWF Archives & West Florida Center John C. Pace Library
8,List Paragraph,6,Arial,None,UWF Archives & West Florida Center John C. Pace Library
8,List Paragraph,6,Arial,None,UWF Archives & West Florida Center John C. Pace Library
8,List Paragraph,6,Arial,None,UWF Archives & West Florida Center John C. Pace Library
9,Heading 6,1,Arial,None,plus
10,List Paragraph,3,Arial,None,Growing Up Pensacola Naval Aircraft Restora
10,List Paragraph,3,Arial,None,Growing Up Pensacola Naval Aircraft Restora
10,List Paragraph,3,Arial,None,Growing Up Pensacola Naval Aircraft Restora
11,Heading 6,1,Arial,None,and more!
12,Normal,2,,None,Why join Leisure Learning?
12,Normal,2,Calibri,True,Why join Leisure Learning?
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
13,Normal,42,Tahoma,None,"For more than 20 years, UWF Leisure Learning has provided stimulating programs for seasoned adults who are interested in joining a spirited community of intellectual contemporaries and lifelong learners."
