number,style,text
1,Body Text,"Tommy G. Smith, Attorney at Law is a Board Certified Elder Law Attorney, helping families identify options  to minimize the impact of long-term care and plan for the future of their estate and assets. Planning for care  as we or family members advance in age is something that most people do not want to think about. However, a “failure to plan, is a plan to fail” when long-term care is involved. Our goal is to minimize distress for you, your loved ones, and your family, providing peace of mind and allowing for added financial security and preparedness for later in life."
2,Body Text,"This presentation features a virtual tour of the major	 	                                                                                        archaeological discoveries in FPAN’s Northwest Region,"
3,Body Text,the Panhandle of Florida. You’ll learn about 16th-century
4,Body Text,"shipwrecks, Native American encampments and ceremonial centers, a Civil War gun battery, a Spanish fort and mission, historic cemeteries, and the nation’s oldest battleship!"
5,Body Text,Is The Phantom of the Opera an opera or musical? Why are so many opera companies performing musicals  these days? How is the music and singing different in
6,Body Text,"musical theatre, as opposed to opera? Answer all of these questions and more during a special, virtual meeting of Opera University. Director of Education Cody Martin will give a presentation on the evolution of the American musical—from its origins in opera, through operetta, and onto the Broadway stage. This interactive session will include numerous video and audio examples, a visual slide presentation, and an open invitation for audience questions and feedback throughout the class."
7,Body Text,"Dr. Bonnie McLean will share her knowledge about one of her favorite topics, Aging Gracefully. As a health practitioner and a 73-year-old working woman, she"
8,Body Text,"has researched this subject for more than 15  years. She is excited to share the latest information on the aging process, including brain physiology, telomeres and how lifestyle influences our aging process. Joining her will be Chef Celestina Brunetti RDN, LD who will share her expertise in her nutritional approach to staying youthful at any age."
9,Body Text,"SHINE (Serving Health Insurance Needs of Elders) can help you navigate medicare with free, unbiased and confidential counseling. The Shine liaison for Escambia, Santa Rosa, Okaloosa and Walton counties"
10,Body Text,"will teach you about medicare basics and how to get the help you need through this federally funded program. Open enrollment starts October 15 and runs through December 7, this is the time for medicare enrollees to"
11,Body Text,reevaluate the plans they are on and make the changes they want or need for 2021.
12,Body Text,"This seminar will inform you of the emotional and financial impact a long-term event could have on your family, how to plan so that the burden may be lessened and provide an explanation of why planning is so critical, especially for women. Learn about some"
13,Body Text,"actionable strategies for cash management/savings, asset allocation, diversification and portfolio rebalancing."
14,Body Text,"Pat Broadus is dedicated to guiding those looking to retire and those already retired through a comprehensive retirement planning process, focusing on long-term planning, risk and lifestyle review and retirement income needs. As a lifelong learner, he strongly believes in the value of education. Pat is a veteran of the U.S. Army, holds a Bachelor’s degree in Economics from St. Bernard College and is a designated Chartered Retirement Planning Counselor and Retirement Income Certified Professional®."
15,Body Text,Join us for a virtual presentation and tour of the ECUA Interim Materials Recycling Facility (IMRF) on why the new plant was built and how the plant process works.
16,Body Text,Learn more about recyclables and how you can make a difference!
17,Body Text,"Opera is as vibrant and alive today as it has ever been, with new pieces being composed and premiered each year. In this session, we’ll discuss some of the new ways opera has been transformed and reinvented over the past decade. Learn how composers and librettists are writing for the audience of today, while also telling stories that haven’t been showcased on opera stages before. We’ll also talk about new musical styles, new technologies and new ways of looking at works in the standard repertoire."
18,Body Text,"With a highly acclaimed biography by Ruth Franklin available, along with a 2020 movie titled in her name, Shirley Jackson is ready to meet a new generation of readers. If your knowledge of this quirky, audacious observer of human nature is limited to high school with her short story “The Lottery,” you are in for a treat. From the Franklin biography, “She was a talented, determined, ambitious writer in an era when it was still unusual for a woman to have both a family and a profession. She was a mother of four who tried to keep up the appearance of running a conventional household...Jackson’s brand of literary suspense is part of a vibrant and distinguished tradition that can be traced back to the American Gothic work of Nathaniel Hawthorne, Edgar Allen Poe and Henry James. Her unique contribution to this genre is her primary focus on women’s lives.” The short stories that will be discussed in this engaging class will be sent to registrants to be downloaded online."
19,Body Text,"What is your plan for aging? As you get older, you are faced with financial, legal, residential options and healthcare choices. What are the costs of an assisted living or nursing home? Is there subsidized housing for seniors? What are the available resources in our community to help with costs for seniors? What is memory care and how is that different from assisted"
20,Body Text,living and nursing home care. How does hospice fit into the needs of seniors? This presentation offers insight into issues seniors and their adult children must know!
