"word: Dr., pos: NNP, startswith V: False"
"word: Bonnie, pos: NNP, startswith V: False"
"word: McLean, pos: NNP, startswith V: False"
"word: will, pos: MD, startswith V: False"
"word: share, pos: NN, startswith V: False"
"word: As, pos: IN, startswith V: False"
"word: a, pos: DT, startswith V: False"
"word: health, pos: NN, startswith V: False"
"word: practitioner, pos: NN, startswith V: False"
"word: and, pos: CC, startswith V: False"
"word: a, pos: DT, startswith V: False"
"word: 73-year-old, pos: JJ, startswith V: False"
"word: working, pos: NN, startswith V: False"
"word: woman, pos: NN, startswith V: False"
"word: shehas, pos: RB, startswith V: False"
"word: researched, pos: VBN, startswith V: True"
"word: this, pos: DT, startswith V: False"
"word: subject, pos: NN, startswith V: False"
"word: for, pos: IN, startswith V: False"
"word: more, pos: JJR, startswith V: False"
"word: than, pos: IN, startswith V: False"
"word: 15, pos: CD, startswith V: False"
"word: years, pos: NNS, startswith V: False"
"word: She, pos: PRP, startswith V: False"
"word: is, pos: VBZ, startswith V: True"
"word: excited, pos: VBN, startswith V: True"
"word: to, pos: TO, startswith V: False"
"word: share, pos: NN, startswith V: False"
"word: Joining, pos: VBG, startswith V: True"
"word: her, pos: PRP$, startswith V: False"
"word: will, pos: MD, startswith V: False"
"word: be, pos: VB, startswith V: True"
"word: Chef, pos: NNP, startswith V: False"
"word: Celestina, pos: NNP, startswith V: False"
"word: Brunetti, pos: NNP, startswith V: False"
"word: RDN, pos: NNP, startswith V: False"
"word: LD, pos: NNP, startswith V: False"
"word: who, pos: WP, startswith V: False"
"word: will, pos: MD, startswith V: False"
"word: share, pos: NN, startswith V: False"
"word: Andy, pos: NNP, startswith V: False"
"word: Marlette, pos: NNP, startswith V: False"
"word: cartoonist, pos: NN, startswith V: False"
"word: and, pos: CC, startswith V: False"
"word: columnist, pos: NN, startswith V: False"
"word: with, pos: IN, startswith V: False"
"word: the, pos: DT, startswith V: False"
"word: Pensacola, pos: NNP, startswith V: False"
"word: News, pos: NNP, startswith V: False"
"word: Journal, pos: NNP, startswith V: False"
"word: will, pos: MD, startswith V: False"
"word: be, pos: VB, startswith V: True"
"word: back, pos: RB, startswith V: False"
"word: to, pos: TO, startswith V: False"
"word: educate, pos: VB, startswith V: True"
"word: A, pos: DT, startswith V: False"
"word: session, pos: NN, startswith V: False"
"word: with, pos: IN, startswith V: False"
"word: Andy, pos: NNP, startswith V: False"
"word: is, pos: VBZ, startswith V: True"
"word: always, pos: RB, startswith V: False"
"word: lively, pos: RB, startswith V: False"
"word: and, pos: CC, startswith V: False"
"word: full, pos: JJ, startswith V: False"
"word: of, pos: IN, startswith V: False"
"word: surprises, pos: NNS, startswith V: False"
"word: His, pos: PRP$, startswith V: False"
"word: creativity, pos: NN, startswith V: False"
"word: is, pos: VBZ, startswith V: True"
"word: overflowing, pos: VBG, startswith V: True"
"word: and, pos: CC, startswith V: False"
"word: his, pos: PRP$, startswith V: False"
"word: wit, pos: NN, startswith V: False"
"word: and, pos: CC, startswith V: False"
"word: wisdom, pos: NN, startswith V: False"
"word: are, pos: VBP, startswith V: True"
"word: astounding, pos: VBG, startswith V: True"
"word: Even, pos: RB, startswith V: False"
"word: if, pos: IN, startswith V: False"
"word: you, pos: PRP, startswith V: False"
"word: have, pos: VBP, startswith V: True"
"word: attended, pos: VBN, startswith V: True"
"word: his, pos: PRP$, startswith V: False"
"word: previous, pos: JJ, startswith V: False"
"word: sessions, pos: NNS, startswith V: False"
"word: join, pos: VBP, startswith V: True"
"word: Bret, pos: NNP, startswith V: False"
"word: Barrow, pos: NNP, startswith V: False"
"word: Executive, pos: NNP, startswith V: False"
"word: Director, pos: NNP, startswith V: False"
"word: and, pos: CC, startswith V: False"
"word: trombone, pos: NN, startswith V: False"
"word: player, pos: NN, startswith V: False"
"word: of, pos: IN, startswith V: False"
"word: the, pos: DT, startswith V: False"
